Token Name,Token ID
BTC,bitcoin
01coin,01coin
Zus,0chain
Bitcoin Dogs,0dog
0 Knowledge Network,0-knowledge-network
O-MEE,0-mee
0VIX Protocol,0vix-protocol
0x Protocol,0x
0x0.ai: AI Smart Contract,0x0-ai-ai-smart-contract
Landwolf,0x678-landwolf-1933
0xAnon,0xanon
0xCoco,0xcoco
0xDAO,0xdao
0xGasless,0xgasless-2
0xGen,0xgen
0x Leverage,0x-leverage
OpenLiquidity,0xlp
0xLSD,0xlsd
0xMonero,0xmonero
0xMonk by Virtuals,0xmonk
0xNumber,0xnumber
0xPrivacy,0xprivacy
0xScans,0xscans
0xsim by Virtuals,0xsim-by-virtuals
0xVPN.org,0xvpn-org
1000BONK,1000bonk
1000BTT,1000btt
1000CAT,1000cat
1000CHEMS,1000chems
1000RATS,1000rats
1000SATS (Ordinals),1000sats-ordinals
1000SHIB,1000shib
1000TROLL,1000troll
1000x by Virtuals,1000x-by-virtuals
10 figs,10-figs
1900Rugrat,1900rugrat
1984,1984-token
OneArt,1art
$1,1-dollar-sol-coin
1ex,1ex
1GUY,1guy
1Hive Water,1hive-water
1Hub.ai,1hub-ai
1inch,1inch
1INCH yVault,1inch-yvault
1MBABYDOGE,1mbabydoge
1MDC,1mdc
1MillionNFTs,1million-nfts
1Move Token,1move token
1%,1-percent
1Reward Token,1reward-token
@BTC25,1rus-btc25
1RUS DAO,1rus-dao
1Sol,1sol
OG Peanut,1-squirrel
2024PUMP,2024pump
2025 TOKEN,2025-token
2077 CODE,2077-code
2080,2080
20EX,20ex
21Million,21million
21X Diamonds,21x
23 Turtles,23-turtles
28VCK,28vck
2DAI.io,2dai-io
2G Carbon Coin,2g-carbon-coin
2MOON,2moon
2omb,2omb-finance
2SHARE,2share
Meow Meow Coin,-3
360noscope420blazeit,360noscope420blazeit
39a.fun,39a-fun
3A,3a-lending-protocol
3d3d,3d3d
3DPass,3dpass
3 Kingdoms Multiverse,3-kingdoms-multiverse
3SPACE ART,3space-art
4,4
🤡,-4
404ver,404ver
"4-(2-Aminoethyl)benzene-1,2-diol",4-2-aminoethyl-benzene-1-2-diol
42-coin,42-coin
4547,4547-token
47th POTUS,47th-potus
4Chan,4chan
4DCoin,4dcoin
4D Twin Maps,4d-twin-maps-2
4EVERLAND,4everland
4GENTIC,4gentic
4 Next Unicorn,4-next-unicorn
4TB Coin,4tb-coin
4TRUMP,4trump
4-Way Mirror Money,4-way-mirror-money
🟥🟪🟦🟩🟨🟧,-5
589,589-token
5G-CASH,5g-cash
5ire,5ire
5mc,5mc
5TARS,5tars
5th Scape,5th-scape
"""　""",-6
69420,69420
69BIRD,69bird
∅,-7
717ai by Virtuals,717ai-by-virtuals
777,777
777FuckIlluminatiWorldwid,777fuckilluminatiworldwid
8008,8008-token
888,888-token
88mph,88mph
8Bit Chain,8bit-chain
8-Bit Coin,8-bit-coin
8chan,8chan
8Pay,8pay
9to5,09-May
99 Bitcoins,99-bitcoins
99Starz,99starz
9inch,9inch
9mm,9mm
9to5io,9to5io
a16gems,a16gems
a16z AI Dog,a16z-ai-dog
A3S,a3s
A51 Finance,a51-finance
aaa cat,aaa-cat
AAAI_agent by Virtuals,aaai_agent-by-virtuals
Lenfi,aada-finance
AADex Finance,aadex-finance
AAG,aag-ventures
Aardvark,aardvark-2
Aark Digital,aark-digital
Aarma [OLD],aarma
Aarma,aarma-2
AASToken,aastoken
Aave,aave
Aave AAVE,aave-aave
Aave AMM BptBALWETH,aave-amm-bptbalweth
Aave AMM BptWBTCWETH,aave-amm-bptwbtcweth
Aave AMM DAI,aave-amm-dai
Aave AMM UniAAVEWETH,aave-amm-uniaaveweth
Aave AMM UniBATWETH,aave-amm-unibatweth
Aave AMM UniCRVWETH,aave-amm-unicrvweth
Aave AMM UniDAIUSDC,aave-amm-unidaiusdc
Aave AMM UniDAIWETH,aave-amm-unidaiweth
Aave AMM UniLINKWETH,aave-amm-unilinkweth
Aave AMM UniMKRWETH,aave-amm-unimkrweth
Aave AMM UniRENWETH,aave-amm-unirenweth
Aave AMM UniSNXWETH,aave-amm-unisnxweth
Aave AMM UniUNIWETH,aave-amm-uniuniweth
Aave AMM UniUSDCWETH,aave-amm-uniusdcweth
Aave AMM UniWBTCUSDC,aave-amm-uniwbtcusdc
Aave AMM UniWBTCWETH,aave-amm-uniwbtcweth
Aave AMM UniYFIWETH,aave-amm-uniyfiweth
Aave AMM USDC,aave-amm-usdc
Aave AMM USDT,aave-amm-usdt
Aave AMM WBTC,aave-amm-wbtc
Aave AMM WETH,aave-amm-weth
Aave BAL,aave-bal
Aave Balancer Pool Token,aave-balancer-pool-token
Aave BAT,aave-bat
Aave BAT v1,aave-bat-v1
Aave BUSD,aave-busd
Aave BUSD v1,aave-busd-v1
Aave CRV,aave-crv
Aave DAI,aave-dai
Aave DAI v1,aave-dai-v1
Aave ENJ,aave-enj
Aave ENJ v1,aave-enj-v1
Aave ETH v1,aave-eth-v1
Aavegotchi,aavegotchi
Aavegotchi ALPHA,aavegotchi-alpha
Aavegotchi FOMO,aavegotchi-fomo
Aavegotchi FUD,aavegotchi-fud
Aavegotchi KEK,aavegotchi-kek
Aave GUSD,aave-gusd
Aave Interest Bearing STETH,aave-interest-bearing-steth
Aave KNC,aave-knc
Aave KNC v1,aave-knc-v1
Aave LINK,aave-link
Aave LINK v1,aave-link-v1
Aave MANA,aave-mana
Aave MANA v1,aave-mana-v1
Aave MKR,aave-mkr
Aave MKR v1,aave-mkr-v1
Aave Polygon AAVE,aave-polygon-aave
Aave Polygon DAI,aave-polygon-dai
Aave Polygon USDC,aave-polygon-usdc
Aave Polygon USDT,aave-polygon-usdt
Aave Polygon WBTC,aave-polygon-wbtc
Aave Polygon WETH,aave-polygon-weth
Aave Polygon WMATIC,aave-polygon-wmatic
Aave RAI,aave-rai
Aave REN,aave-ren
Aave REN v1,aave-ren-v1
Aave SNX,aave-snx
Aave SNX v1,aave-snx-v1
Aave stkGHO,aave-stkgho
Aave SUSD,aave-susd
Aave SUSD v1,aave-susd-v1
Aave TUSD,aave-tusd
Aave TUSD v1,aave-tusd-v1
Aave UNI,aave-uni
Aave v2 USDC,aave-usdc
Aave v1 USDC,aave-usdc-v1
Aave USDT,aave-usdt
Aave USDT v1,aave-usdt-v1
Aave v3 1INCH,aave-v3-1inch
Aave v3 AAVE,aave-v3-aave
Aave v3 agEUR,aave-v3-ageur
Aave v3 ARB,aave-v3-arb
Aave v3 BAL,aave-v3-bal
Aave v3 BTC.b,aave-v3-btc-b
Aave v3 cbETH,aave-v3-cbeth
Aave v3 CRV,aave-v3-crv
Aave v3 DAI,aave-v3-dai
Aave v3 DPI,aave-v3-dpi
Aave v3 ENS,aave-v3-ens
Aave v3 EURe,aave-v3-eure
Aave v3 EURS,aave-v3-eurs
Aave v3 FRAX,aave-v3-frax
Aave v3 GHST,aave-v3-ghst
Aave v3 GNO,aave-v3-gno
Aave v3 KNC,aave-v3-knc
Aave v3 LDO,aave-v3-ldo
Aave v3 LINK,aave-v3-link
Aave v3 LUSD,aave-v3-lusd
Aave v3 MAI,aave-v3-mai
Aave v3 MaticX,aave-v3-maticx
Aave v3 Metis,aave-v3-metis
Aave v3 MKR,aave-v3-mkr
Aave v3 OP,aave-v3-op
Aave v3 rETH,aave-v3-reth
Aave v3 RPL,aave-v3-rpl
Aave v3 sAVAX,aave-v3-savax
Aave v3 sDAI,aave-v3-sdai
Aave v3 SNX,aave-v3-snx
Aave v3 STG,aave-v3-stg
Aave v3 stMATIC,aave-v3-stmatic
Aave v3 sUSD,aave-v3-susd
Aave v3 SUSHI,aave-v3-sushi
Aave v3 UNI,aave-v3-uni
Aave v3 aBasUSDbC,aave-v3-usdbc
Aave v3 USDC,aave-v3-usdc
Aave v3 USDC.e,aave-v3-usdc-e
Aave v3 USDT,aave-v3-usdt
Aave v3 WAVAX,aave-v3-wavax
Aave v3 WBTC,aave-v3-wbtc
Aave v3 WETH,aave-v3-weth
Aave v3 WMATIC,aave-v3-wmatic
Aave v3 wstETH,aave-v3-wsteth
Aave WBTC,aave-wbtc
Aave WBTC v1,aave-wbtc-v1
Aave WETH,aave-weth
Aave XSUSHI,aave-xsushi
Aave YFI,aave-yfi
Aave yVault,aave-yvault
Aave ZRX,aave-zrx
Aave ZRX v1,aave-zrx-v1
Abax,abax
Abble,abble
abcde coin,abcde-coin
abcNURI,abcnuri
abcPHAR,abcphar
ABC PoS Pool,abc-pos-pool
ABDS Token,abds-token
Abdulrozik's Camel,abdulrozik-s-camel
ABE,abe
ABEL Finance,abel-finance
Abelian,abelian
Abey,abey
AB Group,ab-group
Abi,abi
Able Finance,able-finance
Aboard,aboard
Aboat Token,aboat-token-2
ApeBond,abond
Abster,abster
aBTC,abtc
Abyss World,abyss-world
Academic Labs,academic-labs
Acala,acala
Acala Dollar (Acala),acala-dollar-acala
Accel Finance Coin,accel-finance-coin
Access Protocol,access-protocol
Accord AI,accord-ai
Accumulated Finance,accumulated-finance
Accumulated Finance Staked MANTA,accumulated-finance-staked-manta
Accumulated Finance Staked ROSE,accumulated-finance-staked-rose
Accumulated Finance Staked ZETA,accumulated-finance-staked-zeta
Ace Data Cloud,ace-data-cloud
Acent,acent
Acet,acet-token
Achain,achain
achi,achi
ACHI INU,achi-inu
ACHMED - HEART AND SOL,achmed-heart-and-sol
Acid Toad,acid-toad
acmFinance,acmfinance
AC Milan Fan Token,ac-milan-fan-token
Acolyt,acolyte-by-virtuals
Acquire.Fi,acquire-fi
Across Protocol,across-protocol
ACryptoS [OLD],acryptos
ACryptoS,acryptos-2
Act II : The AI Obesity,act-ii-the-ai-obesity
Act II: The Peanut Prophecy,act-ii-the-peanut-prophecy
Act I The AI Prophecy,act-i-the-ai-prophecy
Active Token,active-token
ACTUAL,actual
Acurast,acurast
ADAcash,adacash
ADADao,adadao
Adamant,adamant
ADAMANT Messenger,adamant-messenger
Adanaspor Fan Token,adanaspor-fan-token
ADAPad,adapad
FREN,ada-peepos
Adappter,adappter-token
Adapt3r Digital Treasury Bill Fund,adapt3r-digital-treasury-bill-fund
AdaSwap,adaswap
ADA,ada-the-dog
ADAX,adax
Add Finance,add-finance
adDICted,addickted
AddOn Ai,addon-ai
AdEx,adex
Adillo,adillo
A DOG IN THE MATRIX,a-dog-in-the-matrix
ADO Protocol,ado-network
Adonis,adonis-2
Adrena,adrena
ADreward,adreward
AdRise,adrise
Adroverse,adroverse
Adshares,adshares
Adult Playground,adult-playground
Advantis X,advantis
Adventure Gold,adventure-gold
Advertise Coin,advertise-coin
Aegents,aegents
aEGGS,aeggs
Aegis,aegis
Aegis Ai,aegis-ai
Aejo,aejo
aelf,aelf
Aelin,aelin
Aeon,aeon
Aergo,aergo
AEROBUD,aerobud
Aerodrome Finance,aerodrome-finance
Aeron,aeron
aeroSOL,aerosol
Aerovek Aviation,aerovek-aviation
AesirX,aesirx
Aesoperator,aesoperator
Aeternity,aeternity
aether collective,aether-collective
Aether Games,aether-games
Aetherius Infinite Chain,aetherius-infinite-chain
Aethernet,aethernet
AetherX,aetherx
Aethir,aethir
Aethra AI,aethra-ai
aeUSD,aeusd
Aevo,aevo-exchange
Aevum,aevum-ore
AFEN Blockchain,afen-blockchain
Affi Network,affi-network
Affine ultraETHs 2.0,affine-ultraeths-2-0
Affine ultraETHs 2.0 (Fuse),affine-ultraeths-2-0-fuse
Affinity,affinity
Affyn,affyn
Asian Fintech,afin-coin
Afreum,afreum
Africa Kids Token,africa-kids-token
Africarare,africarare
Afrix,afrix
Afrostar,afrostar
Aftermath Staked SUI,aftermath-staked-sui
A Fund Baby,a-fund-baby
Afyonspor Fan Token,afyonspor-fan-token
Edcoin,aga-rewards
Agatech,agatech
AGA,aga-token
Agave,agave-token
AGENDA 47,agenda-47
Agent2025,agent2025
AgentAlgo,agentaigo
Agentcoin.TV,agentcoin-tv
AGENT DOGE by Virtuals,agent-doge-by-virtuals
Agent DORA,agent-dora
AgenTensor,agentensor
AgentFun.AI,agentfun-ai
AgentiPy,agentipy
Agentlauncher,agentlauncher-token-cvai
AgentLayer,agentlayer
Agently,agently
A Gently Used 2001 Honda,a-gently-used-2001-honda
A Gently Used Couch,a-gently-used-couch
A Gently Used Nokia 3310,a-gently-used-nokia-3310
AgentMe,agentme
Agent Rogue,agent-rogue
Agent S,agent-s
Agents AI,agents-ai
AgentsGPT,agentsgpt
AGENTSYS AI,agentsys-ai
AgentTank,agenttank
AgentVerse,agentverse
Agentwood,agentwood
AgentXBT,agentxbt
Agent YP by Virtuals,agent-yp-by-virtuals
Agent Zeek by Virtuals,agent-zeek-by-virtuals
Agent Zero,agent-zero
AGE OF APES,age-of-apes
AgeOfGods,ageofgods
EURA,ageur
AGG,agg
AGI ALPHA AGENT,agi-alpha-agent
AGII,agii
Agility,agility
Agio,agio
AGIXBT by Virtuals,agixbt-by-virtuals
AGiXT,agixt
Agnus AI,agnus-ai
ago,ago
Agora by Virtuals,agora-by-virtuals
AUSD,agora-dollar
AgoraHub,agorahub
Agoras: Tau Net,agoras-currency-of-tau
Agoric,agoric
Agrello,agrello
AgriDex,agridex-governance-token
AGRI FUTURE TOKEN,agri-future-token
Agritech,agritech
Agro Global Token,agro-global
Aguri-Chan,aguri-chan
AGUS,agus
AhaToken,ahatoken
A Hunters Dream,a-hunters-dream
ai16z,ai16z
ai16zeliza,ai16zeliza
ai16zterminalfartARCzereLLMswarm,ai16zterminalfartarczerellmswarm
ai69x,ai69x
ai9000,ai9000
ai99x,ai99x
A.I Agent kAia,a-i-agent-kaia
AI Agent Layer,ai-agent-layer
AiAkita,aiakita
AI Analysis Token,ai-analysis-token
AICAT,aicat
Aiccelerate,aiccelerate
AICell,aicell
AICHAIN,aichain
AICM Marketplace,aicm-marketplace
AI CODE,ai-code
AICoin,aicoin-2
AI.COM,ai-com
AI Community,ai-community
AI Companions,ai-companions
AICORE,aicore
AICrew,aicrew
AicroStrategy,aicrostrategy
AI Crystal Node,ai-crystal-node
AIDA,aida
aiDAOvc,aidaovc
AI-DePIN,ai-depin
Aidi Finance,aidi-finance-2
AI Dragon,ai-dragon
AIEarn,aiearn
Ai GCR,ai-gcr
A.I Genesis,a-i-genesis
AGIX,aigentx
AIGG,aigg
AIGPU Token,aigpu-token
AIHub,aihub
AI INU,ai-inu
ailive,ailive
AiMalls,aimalls
AI Market Compass,ai-market-compass
Aimbot AI,aimbot
AIMX,aimedis-new
AIMERICA,aimerica
AI Meta Club,ai-meta-club
Aimonica Brands,aimonica-brands
AInalyzr,ainalyzr
AI Network,ai-network
AI Nexus,ai-nexus
AIntivirus,aintivirus
AIntivirus,aintivirus-2
Ainu,ainu-token
AION 5100,aion-5100
AIOS Foundation,aios-foundation
AIOZ Network,aioz-network
AIPad,aipad
AI PEPE KING,ai-pepe-king
Aipets,aipets
AI PIN,ai-pin
Aipocalypto,aipocalypto
AI-Powered CMP,ai-powered-cmp
AI Power Grid,ai-power-grid
AI Powers,ai-powers
AI Protocol,ai-protocol-2
AiPTP,aiptp
aiPump,aipump
AIR,air
AirBTC,airbtc
AIRcoin On Blast,aircoin-on-blast
AirDAO bridged USDC (AirDAO),airdao-bridged-usdc-airdao
AIrena,airena
AIRENE by Virtuals,airene
AI Research Orchestrator,ai-research-orchestrator
Air Fryer Guy,air-fryer-guy
AIRian,airian
AI Rig Complex,ai-rig-complex
aiRight,airight
Airina Bolgur,airina-bolgur
AirNFT,airnft-token
AI ROCKET by Virtuals,ai-rocket-by-virtuals
Airpuff,airpuff
AirSwap,airswap
AirTnT,airtnt
Airtok,airtok-2
ANyONe Protocol,airtor-protocol
AISCII,aiscii
AIShare,aishare
AI Shell NOVA,ai-shell-nova
AiShiba,aishiba
AISignal,aisignal
AISociety,aisociety
AI Supreme,ai-supreme
AI Surf,ai-surf
AISwap,aiswap
AISweatShop,aisweatshop
AITaxBot,aitaxbot
Aither,aither
AIT Protocol,ait-protocol
AI Trader Agent,ai-trader-agent
AITRUMP,aitrump
Aittcoin,aittcoin
AIvalanche DeFAI Agents,aivalanche-defai-agents
AIVeronica by Virtuals,aiveronica
AI VERTEX by Virtuals,ai-vertex-by-virtuals
AI Virtual Agents,ai-virtual-agents
AI Voice Agents,ai-voice-agents
AI Waifu,ai-waifu-2
AIWarper Token,aiwarper-token
Aiwithdaddyissues,aiwithdaddyissues
aiws,aiws
AI-X,ai-x
aixbt by Virtuals,aixbt
aixCB by Virtuals,aixcb-by-virtuals
Ajna Protocol,ajna-protocol
Ajuna Network,ajuna-network-2
AKACHI,akachi
Akashalife,akashalife
Akash Network,akash-network
Aki Network,aki-protocol
AKITA-BSC,akita-bsc
Akita Inu,akita-inu
Akita Inu,akita-inu-2
